Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TS-1088-xR020,2,SW_SPST,C720477
"C1, C4",0402,2,4.7u,C23733
"C10, C11, C2, C3, C7, C8, C9",0402,7,100n,C1525
"C5, C6",0402,2,1u,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D5, D6, D7, D8, D9",D_SOD-123,46,1N4148W,
J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,78171-0004,C588524
J2,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05,
LED1,LED_MX_6028R-ROT,1,MX_SK6812MINI-E,C5149201
"LED10, LED11, LED12, LED2, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED4, LED5, LED6, LED7, LED8, LED9",LED_MX_6028R-ROT,23,MX_SK6812MINI-E,
"LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46",LED_MX_6028R,22,MX_SK6812MINI-E,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,46,MX_SW_HS,
"R1, R2, R3",0402,3,5.1k,C25905
"S1, S2",STAB_MX_P_2u,2,MX_stab,
U1,SOT-23-3,1,XC6206PxxxMR,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,C2847904
